Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer,Explane
At what level is a Network ACL applied?,1. Instance level,2. Region level,3. Availability Zone level,4. Subnet level,,4. Subnet level,Network access control lists (acls) provide a firewall/security layer at the subnet level Security Groups provide a firewall/security layer at the instance level
An architect needs to compare the cost of deploying an on-premise web server and an EC2 instance on the AWS cloud. Which tool can be used to assist the architect?,1. AWS Cost Explorer,2. AWS Budgets,3. AWS TCO Calculator,4. AWS Simple Monthly Calculator,,3. AWS TCO Calculator,"The tco calculator is a free tool provided by aws that allows you to estimate the cost savings of using the AWS Cloud vs. using an on-premised data center
The AWS Cost Explorer is a free tool that allows you to view charts of your costs
The AWS Simple Monthly Calculator helps customers and prospects estimate their monthly AWS bill more efficiently
AWS Budgets gives you the ability to set custom budgets that alert you when your costs or usage exceed"
Which AWS service provides preconfigured virtual private servers (instances) that include everything required to deploy an application or create a database?,1. AWS CloudFormation,2. Amazon Lightsail,3. Amazon ECS,4. AWS Lambda,,2. Amazon Lightsail,"Lightsail provides developers compute, storage, and networking capacity and capabilities to deploy and manage websites, web applications, and databases in the cloud
Lightsail includes everything you need to launch your project quickly – a virtual machine, SSD-based storage, data transfer, DNS management, and a static IP
Lightsail provides preconfigured virtual private servers (instances) that include everything required to deploy and application or create a database
CloudFormation is used to deploy resources through code, as a service it does not include preconfigured servers
Amazon Elastic Container Service (ECS) is a highly scalable, high performance container management service that supports Docker containers and allows you to easily run applications on a managed cluster of Amazon EC2 instances
Lambda is a serverless computing technology that allows you to run code without provisioning or managing servers"
"Which AWS service protects against common exploits that could compromise application availability, compromise security or consume excessive resources?",1. AWS WAF,2. AWS Shield,3. Security Group,4. Network ACL,,1. AWS WAF,"Aws waf is a web application firewall that protects against common exploits that could compromise application availability, compromise security or consume excessive resources 
AWS Shield is a managed Distributed Denial of Service (DDoS) protection service
Security groups and Network ACLs are firewalls protecting at the instance and subnet level respectively"
A Solutions Architect is launching a new EC2 instance that will be a web-server. Which EBS volume type provides a good balancer of price and performance and can be used as a system boot volume?,1. Cold HDD (sc1),2. Throughput Optimized (st1),3. General Purpose (gp2),4. Provisioned IOPS (io1),,3. General Purpose (gp2),"General purpose ssd provides a good balance of price to performance, is suitable for most workloads and can be used as a system boot volume
Provisioned IOPS SSD is a high-performance volume type that is more expensive and should be used for apps that require the higher performance
Cold HDD cannot be used as a boot volume and is good for throughput oriented storage for infrequently accessed data
Throughput Optimized volumes are ideal for streaming workloads with fast throughput such as big data and data warehouses"
Which Amazon S3 storage tier provides does not include a data retrieval fee and has an availability SLA of 99.99%?,1. S3 Standard,2. S3 Standard-IA,3. S3 One Zone-IA,4. Amazon Glacier,,1. S3 Standard,"All of the storage tiers listed include a data retrieval fee except for s3 standard
Availability SLAs are: S3 Standard = 99.99%; S3 Standard-IA = 99.9%; S3 One Zone-IA = 99%; Amazon Glacier = no SLA"
An organization would like to run managed desktops on the AWS cloud using the Windows 10 operating system. Which service can deliver these requirements?,1. Amazon EC2,2. Amazon Workspaces,3. Amazon SWF,4. Amazon does not provide desktop services,,2. Amazon Workspaces,"Amazon workspaces is a managed desktop computing service running on the aws cloud
WorkSpaces allows customers to easily provision cloud-based desktops that allow end-users to access documents and applications
WorkSpaces offers bundles that come with a Windows 7 or Windows 10 desktop experience, powered by Windows Server 2008 R2 and Windows Server 2016 respectively"
How can an organization assess applications for vulnerabilities and deviations from best practice?,1. Use AWS Artifact,2. Use AWS Inspector,3. Use AWS Shield,4. Use AWS WAF,,2. Use AWS Inspector,"Inspector is an automated security assessment service that helps improve the security and compliance of applications deployed on AWS. Inspector automatically assesses applications for vulnerabilities or deviations from best practices
AWS Artifact is your go-to, central resource for compliance-related information that matters to you
AWS Shield is a managed Distributed Denial of Service (DDoS) protection service AWS WAF is a web application firewall"
Which of the following is NOT one of the five AWS Trusted Advisor categories?,1. Cost Optimization,2. Performance,3. Security,4. Application transformation,,4. Application transformation,"The five categories are cost optimization, performance, security, fault tolerance and service limits"
"What features does Amazon RDS provide to deliver scalability, availability and durability? (choose 2)",1. Multi-AZ,2. Read Replicas,3. DB mirroring,4. Clustering,5. Multi-Subnet,"1. Multi-AZ, 2. Read Replicas","Multi-az rds creates a replica in another az and synchronously replicates to it (dr only) Read replicas are used for read heavy DBs and replication is asynchronous
DB mirroring, multi-subnet and clustering are not options provided by RDS"
Which of the following are AWS recommended best practices in relation to IAM? (choose 2),1. Assign permissions to users,2. Create individual IAM users,3. Embed access keys in application code,4. Enable MFA for all users,5. Grant least privilege,"2. Create individual IAM users, 5. Grant least privilege","Aws recommend creating individual iam users and assigning the least privileges necessary for them to perform their role
You should use groups to assign permissions to IAM users, should avoid embedding access keys in application code, and should enable MFA for privileged users (not everyone)"
What is an example of using loose coupling when designing an information system?,1. Synchronous replication,2. Proprietary interfaces,3. DNS name usage,4. Monolithic application architecture,,3. DNS name usage,"Dns names are used for service discovery. in loose coupling disparate resources must have a way of discovering each other without prior knowledge of the network topology
Asynchronous integration rather than synchronous replication is recommended so an interaction does not require an immediate response
You should use standard, technology-agnostic interfaces rather than proprietary interfaces where possible
A monolithic application architecture is not an example of loose coupling"
An architect wants to find a tool for consistently deploying the same resources through a templated configuration. Which AWS service can be used?,1. AWS Elastic Beanstalk,2. AWS CodeBuild,3. AWS CodeDeploy,4. AWS CloudFormation,,4. AWS CloudFormation,"Aws cloudformation provides a common language for you to describe and provision all the infrastructure resources in your cloud environment. CloudFormation allows you to use a simple text file to model and provision, in an automated and secure manner, all the resources needed for your applications across all regions and accounts
AWS CodeDeploy is a fully managed deployment service that automates software deployments to a variety of compute services such as Amazon EC2, AWS Lambda, and your on-premises servers
AWS CodeBuild is a fully managed continuous integration service that compiles source code, runs tests, and produces software packages that are ready to deploy
AWS Elastic Beanstalk is the fastest and simplest way to get web applications up and running on AWS"
Which of the following security operations tasks must be performed by AWS customers? (choose 2),1. Collecting syslog messages from physical firewalls,2. Issuing data center access keycards,3. Installing security updates on EC2 instances,4. Enabling multi-factor authentication (MFA) for privileged users,5. Installing security updates for server firmware,"3. Installing security updates on EC2 instances, 4. Enabling multi-factor authentication (MFA) for privileged users","The customer is responsible for installing security updates on ec2 instances and enabling
MFA. AWS is responsible for security of the physical data center and the infrastructure upon which customer services run"
At which layers of the OSI model do the different types of Elastic Load Balancers operate? (choose 2),1. Network Load Balancer at layer 4,2. Classic Load Balancer at layer 3,3. Application Load Balancer at layer 7,4. Network Load Balancer at layer 3,5. Application Load Balancer at layer 4,"1. Network Load Balancer at layer 4, 3. Application Load Balancer at layer 7","Application load balancer (alb) – layer 7 load balancer that routes connections based on the content of the request
Network Load Balancer (NLB) – layer 4 load balancer that routes connections based on IP protocol data
Classic Load Balancer (CLB) – this is the oldest of the three and provides basic load balancing at both layer 4 and layer 7"
Which AWS service can be used to host a static website?,1. Amazon S3,2. Amazon EBS,3. AWS Lambda,4. Amazon EFS,,1. Amazon S3,"Amazon s3 can be used to host static websites. it is not possible to use dynamic content. you can use a custom domain name if you configure the bucket name to match
The other services listed cannot be used to host a static website"
What type of storage is provided by Amazon EBS?,1. Block,2. File,3. Object,4. Relational,,1. Block,"Amazon elastic block storage (ebs) is block storage. this means you can mount the volume for operating systems and format and partition as if it is a local disk
File and object are other types of storage that you can use with AWS. File storage is provided by EFS and object storage is provided by Amazon S3
Relational is not a type of storage, it is typically used to describe a type of database such as RDS"
A manager needs to keep a check on his AWS spend. How can the manager setup alarms that notify him when his bill reaches a certain amount?,1. Using CloudWatch,2. Using AWS Trusted Advisor,3. Using CloudTrail,4. By notifying AWS support,,1. Using CloudWatch,The best ways to do this is to use cloudwatch to configure alarms that deliver a notification when activated. The alarms can use cost metrics that trigger the alarm when a certain amount of spend has been reached
Which of the following services allow root level access to the operating system? (choose 2),1. Amazon ElastiCache,2. Amazon EC2,3. Amazon SQS,4. Amazon EMR,5. Amazon SWF,"2. Amazon EC2, 4. Amazon EMR","In this list only ec2 and emr allow root level access to the operating system 
Question 42
You need to implement a hosted queue for storing messages in transit between application servers. Which service should you use? 1. Amazon SWF
2. Amazon SNS
3. Amazon SQS
4. Amazon DynamoDB 
Answer: 3
Explanation:
Amazon Simple Queue Service (Amazon SQS) is a web service that gives you access to message queues that store messages waiting to be processed. SQS offers a reliable, highlyscalable, hosted queue for storing messages in transit between computers. SQS is used for distributed/decoupled application
Amazon SWF helps developers build, run, and scale background jobs that have parallel or sequential steps
Amazon Simple Notification Service (SNS) is a highly available, durable, secure, fully managed pub/sub messaging service that enables you to decouple microservices, distributed systems, and serverless applications
Amazon DynamoDB is a nonrelational database that delivers reliable performance at any scale"
Which configuration changes are associated with scaling horizontally? (choose 2),1. Adding additional EC2 instances through Auto Scaling,2. Adding a larger capacity hard drive to a server,3. Changing the DB instance class on an RDS DB,4. Adding additional hard drives to a storage array,5. Changing an EC2 instance to a type that has more CPU and RAM,"1. Adding additional EC2 instances through Auto Scaling, 4. Adding additional hard drives to a storage array","Scaling horizontally takes place through an increase in the number of resources (e.g., adding more hard drives to a storage array or adding more servers to support an application)
Scaling vertically takes place through an increase in the specifications of an individual resource (e.g., upgrading a server with a larger hard drive or a faster CPU). On Amazon EC2, this can easily be achieved by stopping an instance and resizing it to an instance type that has more RAM, CPU, IO, or networking capabilities"
Which AWS construct provides you with your own dedicated virtual network in the cloud?,1. Amazon Workspaces,2. Amazon EC2,3. Amazon IAM,4. Amazon VPC,,4. Amazon VPC,"A virtual private cloud (vpc) is a virtual network dedicated to your aws account. a vpc is analogous to having your own DC inside AWS. It is logically isolated from other virtual networks in the AWS Cloud
Amazon WorkSpaces is a managed desktop computing service running on the AWS cloud
IAM is used to securely control individual and group access to AWS resources
Amazon Elastic Compute Cloud (Amazon EC2) is a web service that provides secure, resizable compute capacity in the cloud"
Which AWS network element allows you to assign a static IPv4 address to an EC2 instance?,1. Public IP,2. Elastic IP,3. Static IP,4. Dynamic IP,,2. Elastic IP,"An elastic ip address is a static ipv4 address designed for dynamic cloud computing. an
Elastic IP address is associated with your AWS account. With an Elastic IP address, you can mask the failure of an instance or software by rapidly remapping the address to another  instance in your account
An Elastic IP is a public IP however in the AWS cloud an elastic IP is the construct used to assign a public IP to an EC2 instance
Static IP and dynamic IP are terms used to describe IP addresses (public or private) that are either statically defined or dynamically obtained (through DHCP)"
An architect is creating a scalable application using AWS Auto Scaling. What needs to be created to enable a working configuration? (choose 2),1. Create a listener,2. Create an Auto Scaling group,3. Create a launch configuration,4. Create a target group,5. Create a listener rule,"2. Create an Auto Scaling group, 3. Create a launch configuration","To setup auto scaling, two of the tasks that need to be performed are to create a launch configuration and an Auto Scaling group
Listeners, listener rules and target groups are associated with Elastic Load Balancing"
A Solutions Architect is designing an application stack that will be highly elastic. What AWS services can be used that don’t require you to make any capacity decisions upfront? (choose 2),1. AWS Lambda,2. Amazon EC2,3. Amazon S3,4. Amazon RDS,5. DynamoDB,"1. AWS Lambda, 3. Amazon S3","With amazon s3 you don't need to specify any capacity at any time, the service scales in both capacity and performance as required
AWS Lambda lets you run code without provisioning or managing servers. You pay only for the compute time you consume - there is no charge when your code is not running
With Amazon EC2 you need to select your instance sizes and number of instances With RDS you need to select the instance size for the DB
With DynamoDB you need to specify the read/write capacity of the DB"
Which AWS service can assist with coordinating tasks across distributed application components?,1. Amazon STS,2. Amazon SQS,3. Amazon SWF,4. Amazon SNS,,3. Amazon SWF,"Amazon simple workflow service (swf) is a web service that makes it easy to coordinate work across distributed application components. SWF enables applications for a range of use cases, including media processing, web application back-ends, business process workflows, and analytics pipelines, to be designed as a coordination of tasks
Amazon Security Token Service (STS) is used for requesting temporary credentials
Amazon Simple Queue Service (SQS) is a message queue used for decoupling application components
Amazon Simple Notification Service (SNS) is a web service that makes it easy to set up, operate, and send notifications from the cloud
SNS supports notifications over multiple transports including HTTP/HTTPS, Email/EmailJSON, SQS and SMS"
What kinds of routing policies are available in Amazon Route 53? (choose 2),1. Simple,2. Failback,3. Fault tolerant,4. Latency,5. Shortest Path First,"1. Simple, 4. Latency","Route 53 routing policies include simple, weighted, latency based, failover, geo-location, Geo-Proximity, Multi-Value and Traffic Flow"
"An application stores images which will be retrieved infrequently, but must be available for retrieval immediately. Which is the most cost-effective storage option that meets these requirements?",1. Amazon Glacier with expedited retrievals,2. Amazon S3 Standard-Infrequent Access,3. Amazon EFS,4. Amazon S3 Standard,,2. Amazon S3 Standard-Infrequent Access,"Amazon Glacier with expedited retrievals is fast (1-5 minutes) but not immediate Amazon S3 Standard-Infrequent Access is the most cost-effective choice
Amazon EFS is a high-performance file system and not ideally suited to this scenario, it is also not the most cost-effective option
Amazon S3 Standard provides immediate retrieval but is not less cost-effective compared to Standard-Infrequent access"
What components can be managed in the Virtual Private Cloud (VPC) management console? (choose 2),1. Subnets,2. Elastic Load Balancers,3. Auto Scaling,4. IP CIDR,5. Snapshots,"1. Subnets, 4. IP CIDR","Within the management console for vpc you can manage items such as subnets and the ip CIDR block for the VPC
The other answers are all items that can be managed within the EC2 management console"
Which services are managed at a regional (rather than global) level? (choose 2),1. Amazon CloudFront,2. Amazon Route 53,3. Amazon S3,4. Amazon EC2,5. AWS IAM,"3. Amazon S3, 4. Amazon EC2","Both amazon ec2 and amazon s3 are managed at a regional level. note: amazon s3 is a global namespace but you still create your buckets within a region CloudFront, Route 52 and IAM and managed at a global level"
What are the names of two types of AWS Storage Gateway? (choose 2),1. S3 Gateway,2. File Gateway,3. Block Gateway,4. Gateway Virtual Tape Library,5. Cached Gateway,"2. File Gateway, 4. Gateway Virtual Tape Library","The aws storage gateway service enables hybrid storage between on-premises environments and the AWS Cloud. It provides low-latency performance by caching frequently accessed data on premises, while storing data securely and durably in Amazon cloud storage services. AWS Storage Gateway supports three storage interfaces: file, volume, and tape
File gateway provides a virtual on-premises file server, which enables you to store and retrieve files as objects in Amazon S3
The volume gateway represents the family of gateways that support block-based volumes, previously referred to as gateway-cached and gateway-stored modes
Gateway Virtual Tape Library is used for backup with popular backup software
All other answers are bogus and use terms that are associated with Storage Gateways (S3, block, cached)"
"To connect an on-premises network to an Amazon VPC using an Amazon Managed VPN connection, which components are required? (choose 2)",1. VPC Router,2. Virtual Private Gateway,3. NAT Instance,4. Direct Connect,5. Customer Gateway,"2. Virtual Private Gateway, 5. Customer Gateway","Two of the components you need to connect to your vpc with a vpn connection are a virtual private gateway on the VPC side and a customer gateway on the on-premise network side VPC routers are not part of the VPN configuration
NAT instances are not used for VPN, they are used by EC2 instances in private subnets to access the Internet
Direct Connect can be used to connect an on-premise network to the cloud however it is not part of the configuration of an Amazon Managed VPN connection"
Which AWS service can be used to run Docker containers?,1. AWS Lambda,2. Amazon ECR,3. Amazon ECS,4. Amazon AMI,,3. Amazon ECS,"Amazon elastic container service (ecs) is a highly scalable, high performance container management service that supports Docker containers and allows you to easily run applications on a managed cluster of Amazon EC2 instances
AWS Lambda is a serverless technology that lets you run code in response to events as functions
Amazon Elastic Container Registry (ECR) is a fully-managed Docker container registry that makes it easy for developers to store, manage, and deploy Docker container images
Amazon Machine Images (AMI) store configuration information for Amazon EC2 instances"
"How can you apply metadata to an EC2 instance that categorizes it according to its purpose, owner or environment?",1. Labels,2. Tags,3. Hostname,4. Stickers,,2. Tags,"A tag is a label that you assign to an aws resource. each tag consists of a key and an optional value, both of which you define. Tags enable you to categorize your AWS resources in different ways, for example, by purpose, owner, or environment"
Which tool can be used to create and manage a selection of AWS services that are approved for use on AWS?,1. AWS Service Catalog,2. AWS OpsWorks,3. Amazon Cloud Directory,4. AWS Organizations,,1. AWS Service Catalog,"Aws service catalog allows organizations to create and manage catalogs of it services that are approved for use on AWS. These IT services can include everything from virtual machine images, servers, software, and databases to complete multi-tier application architectures
AWS OpsWorks is a configuration management service that provides managed instances of Chef and Puppet
Amazon Cloud Directory enables you to build flexible cloud-native directories for organizing hierarchies of data along multiple dimensions
AWS Organizations offers policy-based management for multiple AWS accounts"
Which services are involved with security? (choose 2),1. AWS CloudHSM,2. AWS DMS,3. AWS KMS,4. AWS SMS,5. Amazon ELB,"1. AWS CloudHSM, 3. AWS KMS","Aws key management service gives you centralized control over the encryption keys used to protect your data
AWS CloudHSM is a cloud-based hardware security module (HSM) that enables you to easily generate and use your own encryption keys on the AWS Cloud
AWS Database Migration Service and Server Migration Service are used for migration
Amazon Elastic Load Balancing is used for distributing incoming connections to pools of EC2 instances"
What is a Resource Group?,1. A collection of resources within a VPC,2. A collection of resources that share one or more tags,3. A collection of services within a category,4. A collection of services within a region,,2. A collection of resources that share one or more tags,"A resource group is a collection of resources that share one or more tags or portions of tags. To create a resource group, you simply identify the tags that contain the items that members of the group should have in common"
What are the benefits of using the AWS Managed Services? (choose 2),1. Alignment with ITIL processes,2. Managed applications so you can focus on infrastructure,3. Baseline integration with ITSM tools,4. Designed for small businesses,5. Support for all AWS services,"1. Alignment with ITIL processes, 3. Baseline integration with ITSM tools","Aws managed services manages the daily operations of your aws infrastructure in alignment with ITIL processes
AWS Managed Services provides a baseline integration with IT Service Management (ITSM) tools such as the ServiceNow platform AWS Managed Services provides ongoing management of your AWS infrastructure so you can focus on your applications. By implementing best practices to maintain your infrastructure, AWS Managed Services helps to reduce your operational overhead and risk 
AWS Managed Services currently supports the 20+ services most critical for Enterprises, and will continue to expand our list of integrated AWS services
AWS Managed Services is designed to meet the needs of Enterprises that require stringent
SLAs, adherence to corporate compliance, and integration with their systems and ITIL®based processes"
Which database engines are supported by Amazon RDS? (choose 2),1. DynamoDB,2. SQL Server,3. ElastiCache,4. Aurora,5. MongoDB,"2. SQL Server, 4. Aurora","Rds supports the following engines: sql server, oracle, mysql server, postgresql, Aurora, MariaDB
DynamoDB is Amazon's NoSQL database MongoDB is a No SQL database
ElastiCache is not a type of RDS database"
What categories of Amazon Machine Image (AMI) are available? (choose 2),1. Community AMIs,2. Enterprise AMIs,3. AWS Marketplace AMIs,4. Shared AMIs,5. Partner AMIs,"1. Community AMIs, 3. AWS Marketplace AMIs","Amis come in three main categories:
Community AMIs– free to use, generally you just select the operating system you want
AWS Marketplace AMIs– pay to use, generally come packaged with additional, licensed software
My AMIs– AMIs that you create yourself"
Which statements are true about Amazon EBS volumes? (choose 2),1. You can attach EBS volumes to multiple instances,2. EBS volumes must be in the same AZ as the instances they are attached to,3. You can attach multiple EBS volumes to an instance,4. EBS volume data is ephemeral and is lost when an instance is stopped,5. EBS volumes are object storage,"2. EBS volumes must be in the same AZ as the instances they are attached to, 3. You can attach multiple EBS volumes to an instance","Ebs volumes must be in the same az as the instances they are attached to You can attach multiple EBS volumes to an instance
You cannot attach an EBS volume to multiple instances (use Elastic File Store instead) EBS volume data persists independently of the life of the instance EBS volumes are block storage"
To optimize pricing or ensure capacity is available reservations can be applied to which of the following services? (choose 2),1. Amazon EC2,2. AWS Lambda,3. Amazon EBS,4. Amazon RDS,5. Amazon S3,"1. Amazon EC2, 4. Amazon RDS","Reservations apply to various services, including: ec2, dynamodb, elasticache, rds and RedShift"
Which of the options below are recommendations in the performance efficiency pillar of the wellarchitected framework? (choose 2),1. Democratize advanced technologies,2. Go global in days,3. Use serverless architectures,4. Rarely experiment,5. Mechanical complexity,"1. Democratize advanced technologies, 3. Use serverless architectures","The performance efficiency pillar includes the ability to use computing resources efficiently to meet system requirements and to maintain that efficiency as demand changes and technologies evolve
There are five design principles for performance efficiency in the cloud: - Democratize advanced technologies - Go global in minutes
- Use serverless architectures - Experiment more often
- Mechanical sympathy"
What are Edge locations used for?,1. They are used for terminating VPN connections,2. They host a CDN called CloudFront,3. They are the public-facing APIs for Amazon S3,4. They are used by regions for inter-region connectivity,,2. They host a CDN called CloudFront,An edge location is used by cloudfront as is the location where content is cached (separate to AWS regions/AZs). Requests are automatically routed to the nearest edge location. Edge locations are not tied to Availability Zones or regions
What is required to enable an EC2 instance in a public subnet to access the Internet? (choose 2),1. A public IP address,2. A NAT Gateway,3. A NAT Instance,4. A VPN connection,5. A route to an Internet Gateway,"1. A public IP address, 5. A route to an Internet Gateway","A public subnet is a subnet that is configured to assign public ip addresses to instances and which has a route to an Internet Gateway (which is created at the VPC level) configured in the route table
NAT instances and NAT gateways are used by EC2 instances in private subnets (without public IPs) to access the Internet
A VPN connection is used to establish a secure connection between the AWS cloud and an onpremise data center or other cloud location. They are not used to access the Internet"
What types of origins are supported by Amazon CloudFront? (choose 2),1. EBS volume,2. S3 object,3. Elastic Load Balancer,4. EC2 instance,5. Elastic File System,"3. Elastic Load Balancer, 4. EC2 instance","An origin is the origin of the files that the cdn will distribute. origins can be either an s3 bucket, an EC2 instance, an Elastic Load Balancer, or Route 53 – can also be external (nonAWS)"
"Which feature enables fast, easy, and secure transfers of files over long distances between a client and an Amazon S3 bucket?",1. S3 Static Websites,2. S3 Copy,3. Multipart Upload,4. S3 Transfer Acceleration,,4. S3 Transfer Acceleration,"Amazon s3 transfer acceleration enables fast, easy, and secure transfers of files over long distances between your client and your Amazon S3 bucket. S3 Transfer Acceleration leverages Amazon CloudFront’s globally distributed AWS Edge Locations
With S3 copy you can create a copy of objects up to 5GB in size in a single atomic operation Multipart upload can be used to speed up uploads to S3 S3 can also be used to host static websites"
How is data protected by default in Amazon S3?,1. Buckets are replicated across all regions,2. Objects are redundantly stored on multiple devices across multiple facilities within a region,3. Objects are redundantly stored on multiple devices across multiple facilities across allregions,4. Objects are copied across at least two Availability Zones per region,,2. Objects are redundantly stored on multiple devices across multiple facilities within a region,"Amazon s3 provides a highly durable storage infrastructure designed for mission-critical and primary data storage. Objects are redundantly stored on multiple devices across multiple facilities in an Amazon S3 region
Amazon does not specify how data is replicated across AZs, the use the term facilities instead"
Which of the options below are recommendations in the cost optimization pillar of the wellarchitected framework? (choose 2),1. Adopt a consumption model,2. Adopt a capital expenditure model,3. Start spending money on data center operations,4. Analyze and attribute expenditure,5. Manage your services independently,"1. Adopt a consumption model, 4. Analyze and attribute expenditure","The cost optimization pillar includes the ability to avoid or eliminate unneeded cost or suboptimal resource
There are five design principles for cost optimization in the cloud: - Adopt a consumption model
- Measure overall efficiency
- Stop spending money on data center operations 
- Analyze and attribute expenditure
- Use managed services to reduce cost of ownership"
Which pricing options are available when using Amazon EC2 Reserved Instances? (choose 2),1. Capacity upfront,2. All upfront,3. Mainly upfront,4. Partial upfront,5. Enterprise upfront,"2. All upfront, 4. Partial upfront","Amazon ec2 reserved instances (ri) provide a significant discount (up to 75%) compared to
On-Demand pricing and provide a capacity reservation when used in a specific Availability Zone
Payment options include All Upfront, Partial Upfront, and No Upfront"
Which data consistency models are available with Amazon S3? (choose 2),1. Eventual consistency for PUTS of new objects,2. Read after write consistency for PUTS of new objects,3. Eventual consistency for overwrite PUTS and DELETES,4. Read after write consistency for overwrites PUTS and DELETES,5. Accelerated consistency for all PUTS and DELETES,"2. Read after write consistency for PUTS of new objects, 3. Eventual consistency for overwrite PUTS and DELETES","Data consistency models available are:
- Read after write consistency for PUTS of new objects
- Eventual consistency for overwrite PUTS and DELETES (takes time to propagate)"
Which Amazon EC2 Reserved Instance type enables you to match your capacity reservation to predictable recurring dates and times?,1. Standard RI,2. Convertible RI,3. Scheduled RI,4. Customized RI,,3. Scheduled RI,"With ris, you can choose the type that best fits your applications needs. Standard RIs: These provide the most significant discount (up to 75% off On-Demand) and are best suited for steady-state usage
Convertible RIs: These provide a discount (up to 54% off On-Demand) and the capability to change the attributes of the RI as long as the exchange results in the creation of Reserved
Instances of equal or greater value. Like Standard RIs, Convertible RIs are best suited for steady-state usage
Scheduled RIs: These are available to launch within the time windows you reserve. This option allows you to match your capacity reservation to a predictable recurring schedule that only requires a fraction of a day, a week, or a month"
"Which information security standard applies to entities that store, process or transmit credit cardholder data?",1. ISO 27001,2. HIPAA,3. NIST,4. PCI DSS,,4. PCI DSS,"The payment card industry data security standard (pci dss) is a proprietary information security standard administered by the PCI Security Standards Council
AWS enables covered entities and their business associates subject to the U.S. Health
Insurance Portability and Accountability Act of 1996 (HIPAA) to use the secure AWS environment to process, maintain, and store protected health information
The National Institute of Standards and Technology (NIST) 800-53 security controls are generally applicable to US Federal Information Systems
ISO/IEC 27001:2013 is a security management standard that specifies security management best practices and comprehensive security controls following the ISO/IEC 27002 best practice guidance"
Which Amazon RDS database engines support AWS RDS Read Replicas? (choose 2),1. Oracle,2. MySQL,3. PostgreSQL,4. Microsoft SQL Server,5. DynamoDB,"2. MySQL, 3. PostgreSQL","Read replicas are available for mysql, postgresql, mariadb and aurora (not sql server or Oracle)
DynamoDB is not a type of RDS database and does not support read replicas"
Which Amazon RDS feature enables disaster recovery by creating a replica in another Availability Zone and synchronously replicating data to it?,1. Read Replica,2. Multi-AZ,3. DB mirroring,4. Log shipping,,2. Multi-AZ,"Multi-az rds creates a replica in another az and synchronously replicates to it (dr only) Read replicas are used for read-heavy DBs and replication is asynchronous
DB mirroring and log shipping are not Amazon RDS features, they are methods of replicating data using native database technologies (rather than AWS technology)"
"When deploying resources using AWS CloudFormation, what are you charged for? (choose 2)",1. Per-usage costs for CloudFormation,2. Provisioned EC2 instances,3. Provisioned EBS volumes,4. Provisioned route tables,5. AWS Auto Scaling Groups,"2. Provisioned EC2 instances, 3. Provisioned EBS volumes","You do not pay for aws cloudformation, just for the chargeable resources that it provisions EC2 instances and EBS volumes both incur costs
Route tables and Auto Scaling Groups do not incur costs"
Which statement best describes elasticity in the cloud?,1. The ability to scale resources up or down and only pay for what you use,2. The ability for a system to recover from the failure of a single component,3. A flexible model of code development that results in faster deployment times,4. A pricing model that allows upfront payments and term commitments to reduce cost,,1. The ability to scale resources up or down and only pay for what you use,Elasticity is the ability to scale resources up or down and only pay for what you use. a great example is Auto Scaling which adds and removes EC2 instances based on the amount of load
What are the advantages of Availability Zones? (choose 2),1. They allow regional disaster recovery,2. They provide fault isolation,3. They enable the caching of data for faster delivery to end users,4. They are connected by low-latency network connections,5. They enable you to connect your on-premises networks to AWS to form a hybrid cloud,"2. They provide fault isolation, 4. They are connected by low-latency network connections","Each aws region contains multiple distinct locations called availability zones (azs). each
AZ is engineered to be isolated from failures in other AZs. An AZ is a data center, and in some cases, an AZ consists of multiple data centers. AZs within a region provide  inexpensive, low-latency network connectivity to other zones in the same region. This allows you to replicate your data across data centers in a synchronous manner so that failover can be automated and be transparent for your users
An AZ enables fault tolerance and high availability for your applications within a region not across regions
CloudFront is the technology that is used to enable caching of data for faster delivery to end users
Direct Connect is the technology that is used to connect your on-premises network to AWS to form a hybrid cloud"
Which AWS service can be used to ensure the persistence of in-flight transactions independently of any single application component?,1. AWS CloudFormation,2. Amazon DynamoDB,3. AWS ElastiCache,4. Amazon SQS,,4. Amazon SQS,"Amazon simple queue service (sqs) is a fully managed message queuing service that enables you to decouple and scale microservices, distributed systems, and serverless applications
SQS eliminates the complexity and overhead associated with managing and operating message oriented middleware, and empowers developers to focus on differentiating work In-flight messages are messages that have been picked up by a consumer but not yet deleted from the queue"
Which of the below AWS services supports automated backups as a default configuration?,1. Amazon S3,2. Amazon RDS,3. Amazon EC2,4. Amazon EBS,,2. Amazon RDS,"Rds automated backups allow point in time recovery to any point within the retention period down to a second. When automated backups are turned on for your DB Instance, Amazon RDS automatically performs a full daily snapshot of your data (during your preferred backup window) and captures transaction logs (as updates to your DB Instance are made). Automated backups are enabled by default and data is stored on S3 and is equal to the size of the DB EC2 instances using EBS volumes can be backed up by creating a snapshot of the EBS volume
Amazon S3 objects are replicated across multiple facilities. You can also archive data onto Amazon Glacier and use versioning to maintain copies of older versions of objects"
